hideSl. No:,Constituency,UDF candidate,Party,Votes,LDF candidate,Party,Votes,BJP+ candidate,Votes,Winner,Margin,Winning alliance,State,Year
79,Vypeen,Ajay Tharayil,INC,55572,S. Sharma,CPI(M),60814,Surendran,2930,S. Sharma,5242,LDF,Kerala,2011
80,Kochi,Dominic Presentation,INC,56352,M. C. Josephine,CPI(M),39849,K. Sashidharan,5480,Dominic Presentation,16503,UDF,Kerala,2011
81,Thripunithura,K. Babu,INC,69886,C. M. Dinesh Mani,CPI(M),54108,Sabu Varghese,4942,K. Babu,15778,UDF,Kerala,2011
82,Ernakulam,Hibi Eden,INC,59919,Sebastian Paul,Independent,27482,C. G. Rajagopal,6362,Hibi Eden,32437,UDF,Kerala,2011
83,Thrikkakara,Benny Behanan,INC,65854,M. E. Hasainar,CPI(M),43448,N. Sajikumar,5935,Benny Behanan,22406,UDF,Kerala,2011
84,Kunnathunad (SC),V.P. Sajeendran,INC,63624,M. A. Surendran,CPI(M),54892,Ravi Veliyathunadu,5862,V.P. Sajeendran,8732,UDF,Kerala,2011
88,Piravom,T. M. Jacob,KC(J),66503,M. J. Jacob,CPI(M),66346,M. N. Madhu,4234,T. M. Jacob,157,UDF,Kerala,2011
86,Muvattupuzha,Joseph Vazhakkan,INC,58012,Babu Paul,CPI,52849,Jiji Joseph,4367,Joseph Vazhakkan,5163,UDF,Kerala,2011
87,Kothamangalam,T. U. Kuruvilla,KC(M),52924,Scaria Thomas,KC(T),40702,Radhakrishnan,5769,T. U. Kuruvilla,12222,UDF,Kerala,2011
88,Devikulam (SC),A. K. Mani,INC,47771,S Rejandran,CPI(M),51849,S. Rajagopal,3582,S Rejandran,4078,LDF,Kerala,2011
89,Udumbanchola,Josy Sebastian,INC,47090,K. K. Jayachandran,CPI(M),56923,N. Narayanraj,3836,K. K. Jayachandran,9833,LDF,Kerala,2011
90,Thodupuzha,P. J. Joseph,KC(M),66325,Joseph Augustine,Independent,43457,P. M. Velayudhan,10049,P. J. Joseph,22868,UDF,Kerala,2011
91,Idukki,Roshy Augustine,KC(M),65734,C. V. Varghese,CPI(M),49928,C. C. Krishnan,3013,Roshy Augustine,15806,UDF,Kerala,2011
92,Peerumade,E. M. Augusty,INC,51971,E. S. Bijimol,CPI,56748,P. P. Sanu,3380,E.S. Bijimol,4777,LDF,Kerala,2011
93,Pala,K. M. Mani,KC(M),61239,Mani C. Kappan,NCP,55980,B. Vijay Kumar,6359,K. M. Mani,5259,UDF,Kerala,2011
94,Kaduthuruthy,Monce Joseph,KC(M),68787,Stephen George,KC(T),45730,P.G. Bijukumar,5340,Monce Joseph,23057,UDF,Kerala,2011
95,Vaikom (SC),Satheesh Kumar,INC,52035,K. Ajith,CPI,62603,Ramesh Kavimattom,4512,K. Ajith,10568,LDF,Kerala,2011
96,Ettumanoor,Thomas Chazhikadan,KC(M),55580,K. Suresh Kurup,CPI(M),57381,V. G. Gopakumar,3385,K. Suresh Kurup,1801,LDF,Kerala,2011
97,Kottayam,Thiruvanchoor Radhakrishnan,INC,53825,V.N. Vasavan,CPI(M),53114,Narayan Namboothiri,5449,Thiruvanchoor Radhakrishnan,711,UDF,Kerala,2011
98,Puthuppally,Oommen Chandy,INC,69922,Suja Susan George,CPI(M),36667,D. Sunilkumar,6679,Oommen Chandy,33255,UDF,Kerala,2011
99,Changanassery,C. F. Thomas,KC(M),51019,B. Iqbal,CPI(M),48465,M.B. Rajagopal,6281,C. F. Thomas,2554,UDF,Kerala,2011
100,Kanjirappally,N. Jayaraj,KC(M),57021,Suresh T Nair,CPI,44815,K. G. Rajmohan,8037,N.Jayaraj,12206,UDF,Kerala,2011
101,Poonjar,P. C. George,KC(M),59809,Mohan Thomas,Independent,44105,K. Santhosh Kumar,5010,P. C. George,15704,UDF,Kerala,2011
102,Aroor,M. A. Shukoor,INC,59823,A. M. Arif,CPI(M),76675,P. Sajeev Lal,7486,A.M. Arif,16852,LDF,Kerala,2011
103,Cherthala,K. R. Gowri Amma,JSS,67878,P. Thilothaman,CPI,86193,P.K. Binu,5933,P. Thilothaman,18315,LDF,Kerala,2011
