No.,Constituency,Total Electors,Votes polled,Winning Candidate,Winning Party,Vote %,Runner-up Candidate,Runner-up Party,Vote %,Second Runner-up Candidate,Second Runner-up Party,hideVote %
208,Tiruchuli,"1,74,535",148867,DMK,MMM,,Thangam Thenarasu,,Isakimuthu,,,
Ramanathapuram district,,,,,,,,,,,,
209,Paramakudi (SC),"2,01,912",148105,INC,AIADMK,,R. Ramprabhu,,S.Sundarrajan,,,
210,Tiruvadanai,"2,11,865",155657,DMK,DMDK,,Suba. Thangavelan,,Mujibur Rahman,,,
211,Ramanathapuram,"2,18,330",160066,INC,MNMK,,K. Hussan Ali,,Jawahirullah,,,
212,Mudhukulathur,"2,54,552",176814,DMK,AIADMK,,V. Sathiamoorthy,,M.Murugan,,,
Thoothukkudi district,,,,,,,,,,,,
213,Vilathikulam,"1,72,477",133086,INC,AIADMK,,Perumalsami,,V.V.Markandeyan,,,
214,Thoothukkudi,"2,09,128",156497,DMK,AIADMK,,P. Geetha Jeevan,,Si.Tha.Chellapandian,,,
215,Tiruchendur,"1,86,629",145351,DMK,AIADMK,BJP,Anitha R Radhakrishnan,,P.R.Manoharan,,Rajagopal,
216,Srivaikuntam,"1,72,813",131863,INC,AIADMK,BJP,Sudalayandi,,S.P.Shanmuganathan,,S.Selvaraj,
217,Ottapidaram (SC),"1,63,343",126213,DMK,PT,,Raja,,Dr.Krishnaswamy,,,
218,Kovilpatti,"1,77,346",130402,PMK,AIADMK,BJP,K.Ramachandran,,Kadambur S.Raju,,V.Rangarajan,
Tirunelveli district,,,,,,,,,,,,
219,Sankarankovil (SC),"1,87,862",143938,DMK,AIADMK,AINMK,Uma Maheshwari,,C. Karuppasamy,,P.Suppulakshmi,
220,Vasudevanallur (SC),"1,82,377",141784,INC,AIADMK,AINMK,Ganesan,,S.Duraiappan,,Pichaikani,
221,Kadayanallur,"2,09,446",161847,INC,AIADMK,,S. Peter Alphonse,,P.Senthur Pandian,,,
222,Tenkasi,"2,11,903",169167,DMK,SMK,AINMK,V. Karuppasamy Pandian,,R. Sarathkumar,,Paramasivam,
223,Alangulam,"1,99,597",164365,DMK,AIADMK,BJP,Poongothai Aladiaruna,,P.G.Rajendran,,Sudalayandi,
